method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
SDC,banking,0.25,0.1,1.0,2025,39.61,38.44,84.61,24.87,26.05,66.11,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""7"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,mcid,0.25,0.1,1.0,2025,33.84,35.79,41.98,31.2,13.98,39.16,"{""dataset"": ""mcid"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/mcid_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/mcid_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""5"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/mcid_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/mcid_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,hwu,0.25,0.1,1.0,2025,60.76,65.08,83.92,53.15,47.18,78.13,"{""dataset"": ""hwu"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/hwu_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 20, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""4"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,clinc,0.25,0.1,1.0,2025,62.67,66.94,95.44,51.55,49.93,85.21,"{""dataset"": ""clinc"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/clinc_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 30, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.42, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""7"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,20NG,0.25,0.1,1.0,2025,73.5,78.86,100.0,65.1,62.05,76.51,"{""dataset"": ""20NG"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/20NG_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/20NG_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""5"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/20NG_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/20NG_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,banking,0.25,0.1,1.0,2025,37.86,36.07,33.29,39.35,27.25,66.96,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold1_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,clinc,0.25,0.1,1.0,2025,65.07,63.35,60.35,66.67,50.88,85.35,"{""dataset"": ""clinc"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/clinc_0.25_0.1_fold1_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 30, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.42, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold1_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/clinc_0.25_0.1_fold1_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,DBPedia,0.25,0.1,1.0,2025,61.25,60.73,91.41,45.47,47.85,85.81,"{""dataset"": ""DBPedia"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/DBPedia_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/DBPedia_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 256, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/DBPedia_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/DBPedia_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,stackoverflow,0.25,0.1,1.0,2025,57.47,55.97,53.37,58.84,30.88,55.65,"{""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/stackoverflow_0.25_0.1_fold1_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""4"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold1_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold1_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
SDC,hwu,0.25,0.1,1.0,2025,55.62,53.0,48.85,57.92,40.47,74.88,"{""dataset"": ""hwu"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/hwu_0.25_0.1_fold1_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 20, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold1_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/hwu_0.25_0.1_fold1_seed2025/premodel.pth"", ""method"": ""SDC"", ""fold_type"": ""fold""}"
